panel,weight
panel_mcafee-na*panel_tile,176
panel_lockscreen3*panel_HPprintCOVID,43
panel_hp-reinventing-classrooms*panel_darkmode,28
panel_couponpage-smb_us*panel_HPrefresh,1
panel_office365a*panel_office365a,222
panel_mcafee-emea*panel_personalizebg3,311
panel_GeneralAccessories*panel_startmenu3,31
couponpage_us4*audio-switch3,2
panel_carepack-dt-low*panel_hp-reinventing-classrooms,10
panel_updateprofile3*panel_carepack-nb-elite,3
panel_digitalpen*panel_couponpage_us4,1
panel_office2019*panel_utomik,372
panel_gaming-lastpass*panel_nightlight,2
panel_batterysaver*panel_setup-email4,108
panel_office-security*panel_pinapps2,1459
couponpage_us4*wkwphotos1,1
panel_gaming-expressVPN*panel_office-try-buy,64
panel_action-center*panel_shortcuts,1656
panel_parentalcontrols*panel_HPprintCOVID,27
panel_socialmedia*panel_HPprintCOVID,46
panel_utomik*panel_batterysaver,37
wi-fi*personalizebg3,1
panel_HPfolding*panel_omencc-network-boost,2
panel_webbrowser2*panel_carepack-dt-high,1
panel_mcafee-na*panel_webbrowser3,38
panel_tile*panel_carepack-dt-mid,2
panel_batterysaver*panel_socialmedia,123
panel_updateprofile3*panel_CCbestpractices,39
panel_mcafee-na*panel_carepack-dt-opp,23
panel_pinapps3*panel_mcafee-emea,35
panel_amazon-assistant*panel_batterysaver,18
panel_shortcuts*panel_themes,164
panel_WFHPCSecurityCorona*panel_couponpage_cons,31
panel_darkmode*panel_shortcuts,160
panel_updateprofile2*panel_amazon-assistant,482
panel_startmenu2*panel_couponpage_cons,1
panel_socialmedia*panel_updateprofile2,2823
panel_lockscreen3*panel_instant-ink,429
panel_setup-email4*panel_carepack-nb-low,181
panel_office-try-buy*panel_setup-email4,5521
panel_batterysaver*panel_omencc-network-boost,11
panel_socialmedia*panel_office-security,1581
panel_3DPrintCOVID*panel_lastpass,9
panel_carepack-dt-opp*panel_webbrowser2,18
panel_couponpage_cons*panel_HPfolding,31
panel_WFHTipsCorona*panel_carepack-nb-mid,8
panel_action-center*panel_carepack-dt-mid,15
panel_office-try-buy*panel_themes,442
panel_carepack-dt-opp*panel_WFHPCSecurityCorona,1
panel_instant-ink*panel_startmenu3,30
panel_pinapps2*panel_magicdesktop,21
panel_buyoneplantone*panel_hp-reinventing-classrooms,5
panel_parentalcontrols*panel_hp-reinventing-classrooms,41
panel_office365a*panel_carepack-nb-mid,101
panel_expressVPN*panel_office2019,31
panel_magicdesktop*panel_amazon-assistant,40
panel_wi-fi*panel_hpsa3,3087
panel_lockscreen3*panel_utomik,400
panel_lastpass*panel_webbrowser3,9
panel_gaming-lastpass*panel_carepack-dt-mid,7
panel_uripanel-link*panel_multi-video-test,1
panel_carepack-nb-low*panel_tile,21
panel_audio-switch3*panel_expressVPN,22
panel_expressVPN*panel_HPfolding,6
panel_pinapps2*panel_office2019,2263
panel_instant-ink*panel_carepack-dt-high,1
panel_WFHTipsCorona*panel_wi-fi,46
panel_HPprintCOVID*panel_startmenu3,40
panel_carepack-nb-low*panel_HPprintCOVID,8
panel_hpsa3*panel_uripanel-app,1
panel_utomik*panel_updateprofile3,37
panel_carepack-nb-emea*panel_CCbestpractices,3
panel_nightlight*panel_office2019,157
panel_tile*panel_parentalcontrols,79
panel_instant-ink*panel_carepack-dt-opp,25
panel_expressVPN*panel_pinapps3,15
panel_3DPrintCOVID*panel_batterysaver,30
panel_office2019*panel_buyoneplantone,6
panel_CCbestpractices*panel_amazon-assistant,25
panel_expressVPN*panel_wi-fi,28
panel_batterysaver*panel_magicdesktop,56
panel_hp-reinventing-classrooms*panel_personalizebg3,393
panel_office-try-buy*panel_batterysaver,403
panel_updateprofile3*panel_digitalpen,11
panel_digitalpen*panel_batterysaver,10
panel_carepack-dt-mid*panel_lockscreen3,8
panel_action-center*panel_darkmode,135
panel_startmenu2*panel_gaming-lastpass,19
panel_personalizebg3*panel_gaming-expressVPN,23
panel_darkmode*panel_carepack-nb-high,2
panel_themes*panel_carepack-nb-low,4
panel_HPrefresh*panel_couponpage-smb_us,1
panel_startmenu3*panel_shortcuts,139
panel_hp-reinventing-classrooms*panel_HPfolding,44
panel_webbrowser3*panel_carepack-dt-opp,2
panel_gaming-lastpass*panel_carepack-nb-elite,3
panel_magicdesktop*panel_carepack-nb-elite,3
panel_webbrowser2*panel_wi-fi,2849
panel_sprocket*panel_pinapps2,346
panel_personalizebg3*panel_magicdesktop,89
panel_hpsa2*panel_lockscreen2,4934
panel_WFHPCSecurityCorona*panel_magicdesktop,45
panel_wi-fi*panel_office-mobile,922
panel_GeneralAccessories*panel_carepack-nb-elite,31
panel_expressVPN*panel_expressVPN,8
panel_mcafee-na*panel_lockscreen3,447
panel_pinapps3*panel_utomik,34
panel_carepack-dt-opp*panel_office-security,14
panel_CCbestpractices*panel_WFHPCSecurityCorona,155
panel_instant-ink*panel_updateprofile2,372
panel_buyoneplantone*panel_instant-ink,10
panel_setup-email4*panel_parentalcontrols,132
panel_carepack-nb-mid*panel_hp-reinventing-classrooms,101
panel_couponpage_cons*panel_wi-fi,29
panel_batterysaver*panel_sprocket,34
panel_themes*panel_HPfolding,41
panel_parentalcontrols*panel_couponpage_cons,35
panel_setup-email4*panel_CCbestpractices,32
panel_omencc-network-boost*panel_carepack-nb-high,25
panel_updateprofile3*panel_action-center,145
panel_WFHTipsCorona*panel_tile,42
panel_office360cta*panel_office360cta,8
panel_lastpass*panel_amazon-assistant,8
panel_office365*panel_updateprofile2,1030
panel_updateprofile3*panel_HPprintCOVID,40
panel_tile*panel_updateprofile2,251
panel_webbrowser3*panel_shortcuts,148
panel_office-mobile*panel_carepack-nb-high,271
panel_darkmode*panel_gaming-lastpass,1
panel_photos*panel_batterysaver,100
panel_omencc-network-boost*panel_quickaccess2,83
panel_multi-video-test*panel_uripanel-app,1
panel_setup-email4*panel_nightlight,153
panel_startmenu2*panel_hp-reinventing-classrooms,373
panel_omencc-network-boost*panel_HPrefresh,1
panel_HPfolding*panel_office2019,33
panel_mcafee-emea*panel_lockscreen3,263
panel_carepack-nb-low*panel_updateprofile2,44
panel_audio-switch3*panel_couponpage_us4,949
panel_socialmedia*panel_magicdesktop,84
panel_personalizebg3*panel_darkmode,193
panel_couponpage-smb_us*panel_hpsa3,2
panel_mcafee-na*panel_instant-ink,365
panel_office-try-buy*panel_photos,5326
socialmedia*office365a,3
panel_themes*panel_pinapps3,146
panel_HPfolding*panel_carepack-nb-low,8
panel_carepack-nb-low*panel_setup-email4,60
panel_parentalcontrols*panel_startmenu2,14
panel_digitalpen*panel_office2019,11
panel_lastpass*panel_startmenu3,8
panel_magicdesktop*panel_WFHPCSecurityCorona,36
panel_HPfolding*panel_hp-reinventing-classrooms,25
panel_nightlight*panel_action-center,158
panel_office365*panel_office365,107
panel_audio-switch3*panel_lastpass,22
panel_webbrowser2*panel_startmenu2,3107
panel_webbrowser2*panel_instant-ink,363
panel_GeneralAccessories*panel_startmenu2,329
panel_audio-switch3*panel_batterysaver,129
panel_gaming-lastpass*panel_office-mobile,19
panel_office-security*panel_magicdesktop,79
panel_shortcuts*panel_updateprofile3,158
panel_carepack-nb-high*panel_audio-switch3,74
panel_HPfolding*panel_shortcuts,46
panel_mcafee-na*panel_couponpage_cons,28
panel_wi-fi*panel_expressVPN,27
panel_instant-ink*panel_nightlight,36
panel_updateprofile3*panel_omen-mouse-mousepad,1
panel_socialmedia*panel_office360cta,1
panel_office2019*panel_couponpage_cons,36
socialmedia*wi-fi,1
panel_pinapps3*panel_3DPrintCOVID,35
panel_batterysaver*panel_audio-switch3,101
panel_hpsa3*panel_carepack-nb-high,317
panel_sprocket*panel_gaming-expressVPN,14
panel_parentalcontrols*panel_batterysaver,126
panel_darkmode*panel_pinapps2,18
panel_office-mobile*panel_audio-switch3,798
panel_setup-email4*panel_expressVPN,27
panel_personalizebg3*panel_webbrowser3,169
panel_HPprintCOVID*panel_mcafee-na,35
panel_magicdesktop*panel_CCbestpractices,42
panel_HPrefresh*panel_photos,47
panel_carepack-nb-mid*panel_WFHPCSecurityCorona,12
panel_GeneralAccessories*panel_hpsa3,382
panel_personalizebg3*panel_digitalpen,21
panel_audio-switch3*panel_office-security,1287
panel_office2019*panel_webbrowser2,2170
panel_photos*panel_gaming-lastpass,14
panel_WFHPCSecurityCorona*panel_carepack-dt-opp,2
panel_darkmode*panel_office-mobile,39
panel_themes*panel_photos,151
panel_pinapps2*panel_carepack-nb-elite,125
panel_instant-ink*panel_parentalcontrols,25
panel_HPrefresh*panel_parentalcontrols,49
panel_3DPrintCOVID*panel_gaming-lastpass,3
panel_instant-ink*panel_wi-fi,421
panel_photos*panel_magicdesktop,86
panel_hpsa3*panel_hpsa3,1044
panel_darkmode*panel_WFHPCSecurityCorona,52
panel_setup-email4*panel_personalizebg3,3489
panel_couponpage-smb_us*panel_action-center,1
panel_photos*panel_utomik,364
panel_carepack-nb-high*panel_photos,83
panel_couponpage_us4*panel_office-mobile,984
panel_themes*panel_WFHPCSecurityCorona,37
panel_amazon-assistant*panel_updateprofile2,519
panel_gaming-lastpass*panel_sprocket,15
panel_webbrowser3*panel_expressVPN,16
panel_socialmedia*panel_test-amazon,1
panel_amazon-assistant*panel_GeneralAccessories,193
panel_carepack-nb-high*panel_magicdesktop,8
panel_WFHTipsCorona*panel_office-try-buy,140
panel_webbrowser3*panel_hpsa3,154
panel_sprocket*panel_webbrowser2,376
lockscreen3*hpsa3,3
panel_action-center*panel_gaming-expressVPN,20
panel_HPfolding*panel_setup-email4,45
panel_lastpass*panel_startmenu2,8
wi-fi*couponpage_us4,1
panel_carepack-nb-elite*panel_office-security,29
panel_quickaccess2*panel_lockscreen2,15
panel_CCbestpractices*panel_tile,39
office365a*lockscreen3,1
panel_hp-reinventing-classrooms*panel_omencc-network-boost,24
panel_batterysaver*panel_WFHPCSecurityCorona,46
panel_hpsa3*panel_HPrefresh,45
panel_amazon-assistant*panel_gaming-lastpass,6
panel_themes*panel_office-security,150
panel_omencc-network-boost*panel_office2019,232
panel_gaming-expressVPN*panel_pinapps3,4
panel_carepack-nb-emea*panel_darkmode,38
panel_office2019*panel_hp-reinventing-classrooms,356
